Generation,0,1,2,3,4
0,-17.18445047,-17.18445047,-17.88408297,-17.18445047,-17.18445047
1,-17.18445047,-17.18445047,-17.88408297,-17.18445047,-17.18445047
2,-15.3688904,-15.3688904,-17.88408297,-15.3688904,-15.3688904
3,-15.3688904,-15.3688904,-17.88408297,-15.3688904,-15.3688904
4,-15.3688904,-15.3688904,-17.88408297,-15.3688904,-15.3688904
5,-15.3688904,-15.3688904,-17.88041473,-15.3688904,-15.3688904
6,-15.3688904,-15.3688904,-17.88041473,-15.3688904,-15.3688904
7,-15.3688904,-15.3688904,-17.88041473,-15.3688904,-15.3688904
8,-15.3688904,-15.3688904,-17.76999361,-15.3688904,-15.3688904
9,-15.3688904,-15.3688904,-17.76999361,-15.3688904,-15.3688904
10,-15.3688904,-15.3688904,-17.76999361,-15.3688904,-15.3688904
11,-15.3688904,-15.3688904,-17.76999361,-15.3688904,-15.3688904
12,-15.3688904,-15.3688904,-17.76999361,-15.3688904,-15.3688904
13,-15.3688904,-15.3688904,-17.76999361,-15.3688904,-15.3688904
14,-15.3688904,-15.3688904,-17.76999361,-15.3688904,-15.3688904
15,-15.3688904,-15.3688904,-17.76999361,-15.3688904,-15.3688904
16,-15.3688904,-15.3688904,-17.76999361,-15.3688904,-15.3688904
17,-15.3688904,-15.3688904,-17.76999361,-15.3688904,-15.3688904
18,-15.3688904,-15.3688904,-17.76999361,-15.3688904,-15.3688904
19,-15.3688904,-15.3688904,-17.76012946,-15.3688904,-15.3688904
20,-15.3688904,-15.3688904,-17.76012946,-15.3688904,-15.3688904
21,-15.3688904,-15.3688904,-17.76012946,-15.3688904,-15.3688904
22,-15.3688904,-15.3688904,-17.76012946,-15.3688904,-15.3688904
23,-15.35150697,-15.35150697,-17.76012946,-15.35150697,-15.35150697
24,-15.35150697,-15.35150697,-17.76012946,-15.35150697,-15.35150697
25,-15.35150697,-15.35150697,-17.76012946,-15.35150697,-15.35150697
26,-15.35150697,-15.35150697,-17.76012946,-15.35150697,-15.35150697
27,-15.35150697,-15.35150697,-17.76012946,-15.35150697,-15.35150697
28,-15.35150697,-15.35150697,-17.76012946,-15.35150697,-15.35150697
29,-15.35150697,-15.35150697,-17.76012946,-15.35150697,-15.35150697
30,-15.29576795,-15.29576795,-17.76012946,-15.29576795,-15.29576795
31,-15.29576795,-15.29576795,-17.76012946,-15.29576795,-15.25778294
32,-15.29576795,-15.29576795,-17.76012946,-15.29576795,-15.25778294
33,-15.29576795,-15.29576795,-17.76012946,-15.29576795,-15.25778294
34,-15.29576795,-15.29576795,-17.76012946,-15.29576795,-15.1376011
35,-15.29576795,-15.29576795,-17.76012946,-15.29576795,-15.1376011
36,-14.7778888,-14.7778888,-17.76012946,-14.88888,-14.92395396
37,-14.7778888,-14.7778888,-17.76012946,-14.88888,-14.92395396
38,-14.7778888,-14.7778888,-17.76012946,-14.88888,-14.92395396
39,-14.7778888,-14.7778888,-17.76012946,-14.88888,-14.92395396
40,-14.7778888,-14.7778888,-17.76012946,-14.88888,-14.92395396
41,-14.7778888,-14.7778888,-17.76012946,-14.88888,-14.77335215
42,-14.7778888,-14.7778888,-17.76012946,-14.88888,-14.77335215
43,-14.7778888,-14.7778888,-17.76012946,-14.88888,-14.77335215
44,-14.7778888,-14.7778888,-17.06012946,-14.88888,-14.77335215
45,-14.7778888,-14.7778888,-17.06012946,-14.88888,-14.77335215
46,-14.7778888,-14.7778888,-17.06012946,-14.88888,-14.77335215
47,-14.7778888,-14.7778888,-17.06012946,-14.5555,-14.77335215
48,-14.7778888,-14.7778888,-17.06012946,-14.5555,-14.62507997
49,-14.7778888,-14.7778888,-17.06012946,-14.5555,-14.62507997
50,-14.7778888,-14.7778888,-17.06012946,-14.5555,-14.62507997
51,-14.7778888,-14.7778888,-17.06012946,-14.5555,-14.62507997
52,-14.7778888,-14.7778888,-17.06012946,-14.5555,-14.62507997
53,-14.7778888,-14.7778888,-17.06012946,-14.5555,-14.62507997
54,-14.7778888,-14.7778888,-17.06012946,-14.5555,-14.62507997
55,-14.7778888,-14.7778888,-17.06012946,-14.5555,-14.62507997
56,-14.7778888,-14.7778888,-17.06012946,-14.5555,-14.62507997
57,-14.3555,-14.3555,-17.06012946,-14.5555,-14.62507997
58,-14.3555,-14.3555,-17.06012946,-14.5555,-14.62507997
59,-14.3555,-14.3555,-17.06012946,-14.5555,-14.62507997
60,-14.3555,-14.3555,-17.06012946,-14.5555,-14.62507997
61,-14.3555,-14.3555,-17.06012946,-14.5555,-14.62507997
62,-14.3555,-14.3555,-17.06012946,-14.5555,-14.62507997
63,-14.3555,-14.3555,-17.06012946,-14.5555,-14.62507997
64,-14.3555,-14.3555,-17.06012946,-14.5555,-14.62507997
65,-14.3555,-14.3555,-17.06012946,-14.5555,-14.62507997
66,-14.3555,-14.3555,-17.06012946,-14.5555,-14.62507997
67,-14.3555,-14.3555,-17.06012946,-14.5555,-14.62507997
68,-14.3555,-14.3555,-17.06012946,-14.5555,-14.43557092
69,-14.3555,-14.3555,-17.06012946,-14.5555,-14.43557092
70,-14.3555,-14.3555,-17.06012946,-14.5555,-14.43557092
71,-14.3555,-14.3555,-17.06012946,-14.4478278,-14.43557092
72,-14.3555,-14.3555,-17.06012946,-14.4478278,-14.43557092
73,-14.3555,-14.3555,-17.06012946,-14.4478278,-14.43557092
74,-14.3555,-14.3555,-17.06012946,-14.4478278,-14.43557092
75,-14.3555,-14.3555,-17.06012946,-14.4478278,-14.43557092
76,-14.3555,-14.3555,-17.06012946,-14.4478278,-14.43557092
77,-14.3555,-14.3555,-17.06012946,-14.4478278,-14.43557092
78,-14.3555,-14.3555,-17.06012946,-14.4478278,-14.43557092
79,-14.3555,-14.3555,-17.06012946,-14.4478278,-14.43557092
80,-14.3555,-14.3555,-17.06012946,-14.4478278,-14.43557092
81,-14.3555,-14.3555,-17.06012946,-14.4478278,-14.43557092
82,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
83,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
84,-14.4478278,-14.4478278,-17.06012946,-14.4478278,-14.43557092
