Generation,0,1,2,3,4
0,-17.98445047,-17.18445047,-17.88408297,-17.18445047,-17.18445047
1,-17.98445047,-17.18445047,-17.88408297,-17.18445047,-17.18445047
2,-17.98445047,-17.18445047,-17.88408297,-15.3688904,-15.3688904
3,-17.98445047,-15.3688904,-17.88408297,-15.3688904,-15.3688904
4,-17.98445047,-15.3688904,-17.88408297,-15.3688904,-15.3688904
5,-17.98445047,-15.3688904,-17.88041473,-15.3688904,-15.3688904
6,-17.98445047,-15.3688904,-17.88041473,-15.3688904,-15.3688904
7,-17.98445047,-15.3688904,-17.88041473,-15.3688904,-15.3688904
8,-17.98445047,-15.3688904,-16.76999361,-15.3688904,-15.3688904
9,-17.98445047,-15.3688904,-16.76999361,-15.3688904,-15.3688904
10,-17.98445047,-15.3688904,-16.76999361,-15.3688904,-15.3688904
11,-17.98445047,-15.3688904,-16.76999361,-15.3688904,-15.3688904
12,-17.98445047,-15.3688904,-16.76999361,-15.3688904,-15.3688904
13,-17.98445047,-15.3688904,-16.76999361,-15.3688904,-15.3688904
14,-17.98445047,-15.3688904,-16.76999361,-15.3688904,-15.3688904
15,-17.98445047,-15.3688904,-16.76999361,-15.3688904,-15.3688904
16,-17.98445047,-15.3688904,-16.76999361,-15.3688904,-15.3688904
17,-17.98445047,-15.3688904,-16.76999361,-15.3688904,-15.3688904
18,-17.98445047,-15.3688904,-16.76999361,-15.3688904,-15.3688904
19,-17.98445047,-15.3688904,-16.76999361,-15.3688904,-15.3688904
20,-17.98445047,-15.3688904,-16.76999361,-15.3688904,-15.3688904
21,-16.7778904,-15.3688904,-16.76999361,-15.3688904,-15.3688904
22,-16.7778904,-15.3688904,-16.76999361,-15.3688904,-15.3688904
23,-16.7778904,-15.35150697,-16.76999361,-15.35150697,-15.00068
24,-16.7778904,-15.35150697,-16.76999361,-15.35150697,-15.00068
25,-16.7778904,-15.35150697,-16.76999361,-15.35150697,-15.00068
26,-16.7778904,-15.35150697,-16.76999361,-15.35150697,-15.00068
27,-16.7778904,-15.35150697,-16.76999361,-15.35150697,-15.00068
28,-16.7778904,-15.35150697,-16.76999361,-15.35150697,-15.00068
29,-16.7778904,-15.35150697,-16.76999361,-15.35150697,-15.00068
30,-16.7778904,-15.29576795,-16.76999361,-15.29576795,-15.00068
31,-16.7778904,-15.29576795,-16.76999361,-15.29576795,-15.00068
